# From 2MASS All-Sky Explanatory Supplement, VI.4.a, and Cohen+ 2003.
# "Relative spectral response (RSR) curves, peak-normalized to unity. ...
# Designed to be integrated directly over stellar spectra in F_λ form, in order
# to calculate synthetic photometric magnitudes."
1.900   0.
1.915   8.16050e-06
1.927   1.61002e-05
1.934   1.59036e-04
1.939   4.94992e-04
1.948   5.37610e-03
1.957   1.18628e-02
1.962   1.97031e-02
1.969   4.21742e-02
1.976   8.73064e-02
1.981   0.152759
1.989   0.248173
1.990   0.190245
1.998   0.233884
2.008   0.294551
2.014   0.398217
2.019   0.336603
2.028   0.620746
2.037   0.764986
2.045   0.746412
2.061   0.625063
2.072   0.725492
2.075   0.689468
2.082   0.787906
2.089   0.818135
2.099   0.822833
2.106   0.863294
2.113   0.877829
2.120   0.854895
2.124   0.895329
2.138   0.918862
2.145   0.926769
2.155   0.926657
2.169   0.900943
2.176   0.922819
2.185   0.842755
2.197   0.945854
2.208   0.980363
2.213   0.987926
2.218   0.984788
2.232   0.964659
2.237   0.981633
2.248   0.983449
2.256   0.961316
2.260   0.979226
2.263   1.00000
2.265   0.963168
2.270   0.981193
2.272   0.968068
2.276   0.910892
2.277   0.982136
2.281   0.889606
2.284   0.891766
2.286   0.942380
2.291   0.840424
2.293   0.804239
2.295   0.707670
2.297   0.657619
2.299   0.560736
2.306   0.443653
2.311   0.348239
2.316   0.230228
2.320   0.162597
2.325   0.135967
2.328   9.21021e-02
2.335   6.23901e-02
2.339   4.30926e-02
2.344   3.39814e-02
2.346   3.09546e-02
2.352   1.18112e-02
2.361   6.83260e-03
2.363   7.48518e-04
2.370   2.99553e-03
2.375   2.09686e-03
2.384   4.06306e-04
2.399   0.
