# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W1     RSR     uncertainty (parts per thousand)
  2.53  0.57183E-05   707
  2.54  0.37863E-06  1000
  2.55  0.20780E-06  1000
  2.56  0.22743E-06  1000
  2.57  0.75882E-05   707
  2.58  0.53493E-05   707
  2.59  0.34988E-05   707
  2.60  0.23718E-05  1000
  2.61  0.35787E-03   533
  2.62  0.11801E-02   632
  2.63  0.92944E-03   534
  2.64  0.75095E-03   534
  2.65  0.81940E-03   534
  2.66  0.88183E-03   533
  2.67  0.10517E-02   534
  2.68  0.33867E-03   707
  2.69  0.51705E-03   707
  2.70  0.81846E-03   707
  2.71  0.87291E-02   107
  2.72  0.77299E-02    83
  2.73  0.46045E-02    64
  2.74  0.34356E-02   119
  2.75  0.73993E-02    64
  2.76  0.13747E-01    59
  2.77  0.23550E-01    90
  2.78  0.45209E-01   108
  2.79  0.88875E-01   102
  2.80  0.15556E+00    82
  2.81  0.23009E+00    59
  2.82  0.28369E+00    38
  2.83  0.30687E+00    27
  2.84  0.30425E+00    23
  2.85  0.29415E+00    20
  2.86  0.28210E+00    19
  2.87  0.26809E+00    19
  2.88  0.25501E+00    18
  2.89  0.25401E+00    17
  2.90  0.26625E+00    20
  2.91  0.28903E+00    23
  2.92  0.31501E+00    24
  2.93  0.33782E+00    21
  2.94  0.35702E+00    19
  2.95  0.37356E+00    18
  2.96  0.38865E+00    17
  2.97  0.40548E+00    16
  2.98  0.42145E+00    16
  2.99  0.43263E+00    15
  3.00  0.43701E+00    14
  3.01  0.44142E+00    13
  3.02  0.44584E+00    12
  3.03  0.44534E+00    10
  3.04  0.43787E+00     9
  3.05  0.42836E+00     9
  3.06  0.41477E+00     9
  3.07  0.40008E+00     9
  3.08  0.38227E+00    10
  3.09  0.36736E+00    11
  3.10  0.35944E+00    10
  3.11  0.36771E+00     9
  3.12  0.39539E+00    11
  3.13  0.43755E+00    14
  3.14  0.47689E+00    12
  3.15  0.50722E+00    10
  3.16  0.52844E+00     9
  3.17  0.54461E+00    10
  3.18  0.55879E+00    10
  3.19  0.57201E+00     9
  3.20  0.58320E+00     9
  3.21  0.59027E+00     9
  3.22  0.59737E+00     9
  3.23  0.60239E+00     8
  3.24  0.60637E+00     6
  3.25  0.60293E+00     6
  3.26  0.59840E+00     8
  3.27  0.59596E+00     9
  3.28  0.59993E+00     8
  3.29  0.61787E+00     6
  3.30  0.65317E+00     7
  3.31  0.69947E+00     9
  3.32  0.74821E+00    10
  3.33  0.79179E+00    11
  3.34  0.82254E+00    12
  3.35  0.84021E+00    13
  3.36  0.84052E+00    13
  3.37  0.82651E+00    14
  3.38  0.81020E+00    16
  3.39  0.79056E+00    18
  3.40  0.76957E+00    20
  3.41  0.75847E+00    20
  3.42  0.77522E+00    19
  3.43  0.82117E+00    19
  3.44  0.88300E+00    19
  3.45  0.93966E+00    18
  3.46  0.97628E+00    17
  3.47  0.99497E+00    17
  3.48  0.10000E+01    17
  3.49  0.99831E+00    16
  3.50  0.99774E+00    16
  3.51  0.99727E+00    15
  3.52  0.99666E+00    15
  3.53  0.99615E+00    14
  3.54  0.98857E+00    14
  3.55  0.97513E+00    14
  3.56  0.95694E+00    14
  3.57  0.93631E+00    16
  3.58  0.91555E+00    17
