# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W2     RSR     uncertainty (parts per thousand)
  2.53  0.27575E-08   707
  2.54  0.10551E-05   534
  2.55  0.14220E-06   534
  2.56  0.29408E-06   534
  2.57  0.43892E-06   535
  2.58  0.33766E-06   535
  2.59  0.11802E-05   634
  2.60  0.22091E-06   534
  2.61  0.86197E-07   534
  2.62  0.91917E-07   534
  2.63  0.72725E-07   534
  2.64  0.10461E-10   707
  2.65  0.58590E-11   707
  2.66  0.31765E-07   534
  2.67  0.57621E-07   533
  2.68  0.69911E-07   534
  2.69  0.33384E-07   535
  2.70  0.87087E-07   534
  2.71  0.62967E-07   535
  2.72  0.20266E-06   633
  2.73  0.55547E-07   535
  2.74  0.49308E-07   535
  2.75  0.34301E-07   534
  2.76  0.26115E-07   534
  2.77  0.47909E-07   632
  2.78  0.24843E-07   535
  2.79  0.60514E-07   633
  2.80  0.29997E-07   533
  2.81  0.31028E-07   534
  2.82  0.30026E-07   534
  2.83  0.31329E-07   535
  2.84  0.36219E-07   535
  2.85  0.36355E-07   533
  2.86  0.86691E-07   633
  2.87  0.30313E-07   534
  2.88  0.26115E-07   534
  2.89  0.15629E-07   535
  2.90  0.26255E-07   534
  2.91  0.14241E-07   534
  2.92  0.14949E-07   535
  2.93  0.14172E-07   534
  2.94  0.57737E-07   633
  2.95  0.55186E-08   534
  2.96  0.38223E-07   630
  2.97  0.48042E-08   534
  2.98  0.23932E-08   534
  2.99  0.15017E-08   535
  3.00  0.81430E-09   534
  3.01  0.18893E-16  1000
  3.02  0.92490E-09   534
  3.03  0.14049E-08   534
  3.04  0.10943E-08   534
  3.05  0.15301E-08   534
  3.06  0.94153E-09   534
  3.07  0.10621E-08   534
  3.08  0.10014E-07   632
  3.09  0.34225E-09   534
  3.10  0.91841E-08   632
  3.11  0.75806E-09   534
  3.12  0.93146E-10   534
  3.13  0.55396E-14   707
  3.14  0.62920E-17  1000
  3.15  0.11834E-13   707
  3.16  0.15546E-13   707
  3.17  0.41596E-09   534
  3.18  0.29226E-13   707
  3.19  0.53232E-16  1000
  3.20  0.14554E-13   707
  3.21  0.29383E-08   534
  3.22  0.37634E-08   533
  3.23  0.54472E-08   534
  3.24  0.19392E-07   632
  3.25  0.56954E-08   534
  3.26  0.62708E-08   534
  3.27  0.51157E-08   534
  3.28  0.46797E-08   534
  3.29  0.56141E-08   533
  3.30  0.23984E-08   534
  3.31  0.11991E-12   707
  3.32  0.13544E-12   707
  3.33  0.28921E-12   707
  3.34  0.44666E-12   707
  3.35  0.45326E-12   707
  3.36  0.60897E-12   707
  3.37  0.53627E-12   707
  3.38  0.91774E-12   707
  3.39  0.67368E-12   707
  3.40  0.98980E-12   707
  3.41  0.84044E-12   707
  3.42  0.11715E-11   707
  3.43  0.13258E-07   535
  3.44  0.13267E-07   534
  3.45  0.44866E-07   534
  3.46  0.62700E-07   534
  3.47  0.86772E-07   534
  3.48  0.72159E-07   534
  3.49  0.42993E-06   633
