# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W3     RSR     uncertainty (parts per thousand)
  2.53  0.32831E-15   342
  2.54  0.10744E-14   343
  2.55  0.17799E-13   344
  2.56  0.17906E-14   342
  2.57  0.97118E-15   343
  2.58  0.72814E-14   342
  2.59  0.10065E-17   343
  2.60  0.29278E-14   341
  2.61  0.45167E-14   340
  2.62  0.12278E-13   340
  2.63  0.62316E-14   339
  2.64  0.15514E-14   339
  2.65  0.27638E-14   340
  2.66  0.17165E-15   339
  2.67  0.69638E-14   337
  2.68  0.54278E-14   337
  2.69  0.74235E-14   337
  2.70  0.42715E-14   336
  2.71  0.21035E-14   336
  2.72  0.34696E-14   336
  2.73  0.39301E-13   336
  2.74  0.79134E-14   335
  2.75  0.60450E-14   334
  2.76  0.91664E-13   334
  2.77  0.55325E-14   334
  2.78  0.72095E-14   333
  2.79  0.28689E-15   333
  2.80  0.15496E-15   333
  2.81  0.28659E-16   332
  2.82  0.84463E-15   332
  2.83  0.10755E-14   331
  2.84  0.97267E-14   331
  2.85  0.39020E-14   330
  2.86  0.14669E-14   330
  2.87  0.13024E-14   329
  2.88  0.13321E-14   329
  2.89  0.14504E-13   328
  2.90  0.15853E-13   329
  2.91  0.70675E-13   327
  2.92  0.47575E-15   327
  2.93  0.13605E-13   327
  2.94  0.10776E-13   326
  2.95  0.10060E-13   325
  2.96  0.18121E-14   326
  2.97  0.10495E-14   325
  2.98  0.15108E-15   324
  2.99  0.77197E-13   342
  3.00  0.19087E-12   341
  3.01  0.87626E-15   322
  3.02  0.17444E-13   322
  3.03  0.84666E-14   322
  3.04  0.10577E-14   321
  3.05  0.15006E-13   321
  3.06  0.19761E-15   320
  3.07  0.65968E-14   320
  3.08  0.84541E-12   337
  3.09  0.84205E-12   337
  3.10  0.52065E-14   319
  3.11  0.21707E-13   318
  3.12  0.12956E-13   318
  3.13  0.33963E-15   317
  3.14  0.52013E-14   317
  3.15  0.22033E-14   317
  3.16  0.33816E-14   316
  3.17  0.21970E-13   316
  3.18  0.41968E-13   316
  3.19  0.50209E-14   315
  3.20  0.12814E-13   315
  3.21  0.23177E-14   315
  3.22  0.19946E-13   313
  3.23  0.40053E-13   313
  3.24  0.64232E-14   312
  3.25  0.37898E-14   312
  3.26  0.13956E-13   312
  3.27  0.60304E-13   312
  3.28  0.12854E-13   311
  3.29  0.23657E-13   311
  3.30  0.13410E-13   309
  3.31  0.37960E-13   309
  3.32  0.12054E-12   309
  3.33  0.11153E-12   309
  3.34  0.15135E-13   309
  3.35  0.32506E-13   308
  3.36  0.40072E-14   308
  3.37  0.10288E-12   306
  3.38  0.17993E-13   306
  3.39  0.92771E-14   307
  3.40  0.23530E-13   306
  3.41  0.22038E-13   306
  3.42  0.10699E-13   306
  3.43  0.20891E-16   305
